Cooling Unit Error: Check connection cable
N/A
Cabinet
Signals from Cooling Unit
Alarm Activated:
No
Door Sensor:
CLOSED
Water Sensor:
OK
Smoke Sensor:
OK
Events Log
Log Entries: 1429
Refresh Log
Timestamp	Reporter	Target	Type	Event
2025-07-29 06:36:56	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-29 05:29:23	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 13:34:19	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 11:42:20	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-28 11:22:14	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 10:08:53	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-28 09:44:38	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 08:31:44	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 07:34:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-28 05:34:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-27 15:49:36	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-26 10:09:53	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-26 09:44:03	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-26 07:02:37	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-26 06:05:13	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-26 05:21:02	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 14:24:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 13:32:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 12:47:44	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 11:23:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 10:38:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-25 08:15:56	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 13:28:21	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 12:04:24	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 10:58:02	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 10:10:00	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 07:40:41	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-24 07:17:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-24 05:54:04	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-24 05:33:22	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-23 15:08:15	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-23 13:37:51	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-23 12:35:29	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-23 12:03:15	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-23 10:05:24	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-23 09:26:53	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-23 07:51:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-23 06:21:55	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 16:05:51	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 15:09:32	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-22 13:54:27	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 12:09:25	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-22 11:46:46	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-22 11:24:03	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-22 10:40:17	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 09:48:15	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 08:10:12	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-22 07:45:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-22 05:42:40	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-21 15:44:42	Website	Controller	Auth	User admin log in FAILED! (Invalid user/pass)
2025-07-21 15:22:50	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-21 14:44:21	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-21 12:49:19	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-21 12:41:28	Display	Controller	Auth	User admin logged out AUTOMATICALLY!
2025-07-21 12:10:41	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 12:00:32	RCU	RCU	State	Machine status set to ON
2025-07-21 12:00:32	Display	RCU	State	Request to set Machine State to ON
2025-07-21 12:00:09	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 11:59:42	Display	Controller	Auth	User admin log in SUCCESSFUL!
2025-07-21 11:37:21	RCU	RCU	State	Machine status set to OFF
2025-07-21 11:37:15	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 11:23:07	Display	Controller	Auth	User admin logged out MANUALLY!
2025-07-21 11:18:31	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 11:14:53	Display	RCU	State	Request to modify Supply Air Target
2025-07-21 11:14:41	RCU	RCU	State	Machine status set to ON
2025-07-21 11:14:41	Display	RCU	State	Request to set Machine State to ON
2025-07-21 11:14:33	Display	Controller	Auth	User admin log in SUCCESSFUL!
2025-07-21 10:57:02	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 10:57:01	RCU	RCU	State	MODBUS has CONNECTED
2025-07-21 10:56:52	Controller	Controller	State	Controller start up!
2025-07-21 10:46:23	RCU	Cabinet	Alarm	Door Open Alarm (closed)
2025-07-21 10:28:21	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 10:26:55	RCU	RCU	State	MODBUS has CONNECTED
2025-07-21 10:26:47	Controller	Controller	State	Controller start up!
2025-07-21 10:22:55	RCU	RCU	State	Machine status set to OFF
2025-07-21 10:21:32	RCU	RCU	State	MODBUS has CONNECTED
2025-07-21 10:21:32	RCU	RCU	State	Machine status set to ON
2025-07-21 10:21:32	RCU	Cabinet	Alarm	Door Open Alarm (closed)
2025-07-21 10:21:23	Controller	Controller	State	Controller start up!
2025-07-21 10:01:35	RCU	RCU	State	MODBUS has CONNECTED
2025-07-21 10:01:35	RCU	RCU	State	Machine status set to ON
2025-07-21 10:01:35	RCU	Cabinet	Alarm	Door Open Alarm (closed)
2025-07-21 10:01:25	Controller	Controller	State	Controller start up!
2025-07-21 09:59:39	RCU	RCU	State	MODBUS has CONNECTED
2025-07-21 09:59:21	RCU	RCU	State	MODBUS has DISCONNECTED
2025-07-21 09:42:46	RCU	Cabinet	Alarm	Door Open Alarm (closed)
2025-07-21 09:39:57	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-21 08:40:44	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-21 08:12:48	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-21 08:11:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-18 15:24:35	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-18 13:19:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-18 11:46:10	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-18 09:39:28	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-18 09:14:05	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-18 08:55:15	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-18 08:36:35	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-17 15:09:50	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-17 12:49:31	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-17 11:18:03	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-17 07:38:45	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-16 15:57:20	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-16 15:56:18	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-16 15:55:23	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-16 15:55:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-16 05:35:28	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-15 07:49:09	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-15 06:03:59	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 15:58:19	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 12:45:48	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 11:46:11	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 10:50:15	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 09:35:27	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 08:27:43	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-11 06:45:55	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-10 12:33:05	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-10 10:08:29	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-10 09:43:03	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-10 07:57:56	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-10 07:39:13	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-10 05:40:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 15:58:07	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 14:16:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 11:17:15	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 10:12:32	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 08:53:11	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-09 08:37:46	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-09 08:08:15	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-09 06:01:17	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-08 13:56:48	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-08 10:38:59	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-08 10:23:48	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-08 09:20:47	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-08 09:01:44	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-08 08:44:33	RCU	RCU	State	Machine status set to ON
2025-07-08 08:44:32	RCU	RCU	State	MODBUS has CONNECTED
2025-07-08 08:44:23	Controller	Controller	State	Controller start up!
2025-07-08 08:41:55	RCU	Cabinet	Alarm	Door Open Alarm
2025-07-08 08:38:29	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-08 08:02:44	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-02 12:48:23	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-02 11:54:43	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-02 10:14:59	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-02 08:29:33	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-02 07:14:05	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-30 13:52:58	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-30 12:48:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 14:29:09	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-26 14:08:16	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-26 13:03:46	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 11:29:40	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 10:07:57	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-26 09:41:46	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-26 09:24:04	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 08:35:25	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 07:53:37	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-26 05:38:10	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 16:29:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
